DATE,ARIMA Prediction
2011-01-01,119.2864868314067
2011-02-01,110.13685868939599
2011-03-01,101.50653427108143
2011-04-01,91.33632559962192
2011-05-01,93.16904977807464
2011-06-01,103.07113052048459
2011-07-01,111.03855568952964
2011-08-01,111.83500149127042
2011-09-01,100.66125004288911
2011-10-01,92.498892049004
2011-11-01,94.86246950389896
2011-12-01,110.36524830497811
2012-01-01,116.51609471181537
2012-02-01,108.61774391145389
2012-03-01,101.7244755146991
2012-04-01,92.22849795816835
2012-05-01,93.11761553341988
2012-06-01,101.99313593566403
2012-07-01,109.62925892577195
2012-08-01,110.8503733329403
2012-09-01,100.13427184943696
2012-10-01,93.07053062374189
2012-11-01,94.73701845423817
2012-12-01,109.34236779601419
2013-01-01,116.11674416617187
2013-02-01,108.56244348004395
2013-03-01,101.39569730505474
2013-04-01,91.73320064429252
2013-05-01,92.87034227931149
2013-06-01,102.07283927608964
2013-07-01,109.76268802490017
2013-08-01,110.90587883105108
2013-09-01,100.0206056847056
2013-10-01,92.66082362537236
2013-11-01,94.44353524706244
2013-12-01,109.5729302137
2014-01-01,116.20338781558873
2014-02-01,108.52270365764227
2014-03-01,101.1994647749122
2014-04-01,91.46823705437507
2014-05-01,92.66581010660872
2014-06-01,101.93434399910787
2014-07-01,109.63639629281445
2014-08-01,110.73034221259867
2014-09-01,99.79464929003765
2014-10-01,92.33261574193523
2014-11-01,94.15728424293064
2014-12-01,109.338351608823
2015-01-01,115.90395235071925
2015-02-01,108.18167692970569
2015-03-01,100.8694663587308
2015-04-01,91.13869902011437
2015-05-01,92.29949016287009
2015-06-01,101.52448366809456
2015-07-01,109.2069928372494
2015-08-01,110.29358276992552
2015-09-01,99.35825144019445
2015-10-01,91.90819401864479
2015-11-01,93.70752353417534
2015-12-01,108.82868051571008
2016-01-01,115.39276703285867
2016-02-01,107.66708846299217
2016-03-01,100.35308765230376
2016-04-01,90.61331341542125
2016-05-01,91.75485863332845
2016-06-01,100.96025242863799
2016-07-01,108.62728010874594
2016-08-01,109.70335713823165
2016-09-01,98.7574760711795
2016-10-01,91.3010364020471
2016-11-01,93.08247678679093
2016-12-01,108.18553406250632
2017-01-01,114.74032166864664
2017-02-01,107.00341497778973
2017-03-01,99.67371911092803
2017-04-01,89.91926834994767
2017-05-01,91.04945882681893
2017-06-01,100.24407419852041
2017-07-01,107.89822671822795
2017-08-01,108.960313070672
2017-09-01,97.99979098808375
2017-10-01,90.52765719711138
2017-11-01,92.29675371762352
2017-12-01,107.39038697788715
2018-01-01,113.93066976392828
2018-02-01,106.17945156714926
2018-03-01,98.83538682414752
2018-04-01,89.06715798055446
2018-05-01,90.18437553929003
2018-06-01,99.36603768379767
2018-07-01,107.00692653129381
2018-08-01,108.05534975396307
2018-09-01,97.08117910367213
2018-10-01,89.59506376157314
2018-11-01,91.35109033913885
2018-12-01,106.43161998847391
2019-01-01,112.9581462991379
2019-02-01,105.19333095316165
2019-03-01,97.83604686291918
2019-04-01,88.05450235141853
2019-05-01,89.15810986361475
2019-06-01,98.32611300166786
2019-07-01,105.9535251731995
2019-08-01,106.9885728511442
2019-09-01,96.00108125647833
2019-10-01,88.5017396659801
2019-11-01,90.24424133975167
2019-12-01,105.31100038551092
2020-01-01,111.82419616423535
2020-02-01,104.04603117365986
2020-03-01,96.67539562345894
